ticket_id,customer_id,category,priority,status,escalated,resolution_hours,csat_score,created_at
TCK-0004-05,CUST-0004,Billing,Medium,Escalation Pending,True,-1.0,1.0,2026-06-05 00:00:00
TCK-0004-06,CUST-0004,Technical Bug,Urgent,Escalation Pending,True,-1.0,2.0,2025-12-08 00:00:00
TCK-0004-07,CUST-0004,Billing,Low,In Progress,False,-1.0,2.0,2026-03-31 00:00:00
TCK-0004-08,CUST-0004,Feature Request,Low,Resolved,False,3.3,5.0,2025-10-27 00:00:00
TCK-0004-09,CUST-0004,Technical Bug,Medium,Escalation Pending,False,-1.0,1.0,2026-04-06 00:00:00
TCK-0004-10,CUST-0004,Technical Bug,High,Resolved,False,33.0,3.0,2025-09-27 00:00:00
TCK-0005-01,CUST-0005,Feature Request,Low,Resolved,False,23.7,5.0,2026-04-25 00:00:00
TCK-0005-02,CUST-0005,Account Access,Urgent,Escalation Pending,False,-1.0,1.0,2025-12-11 00:00:00
TCK-0005-03,CUST-0005,Account Access,Medium,Resolved,False,18.5,3.0,2025-09-30 00:00:00
TCK-0005-04,CUST-0005,Performance Issue,Urgent,Closed,False,6.0,3.0,2025-12-09 00:00:00
TCK-0005-05,CUST-0005,Billing,Low,Closed,False,10.9,4.0,2026-06-28 00:00:00
TCK-0006-01,CUST-0006,Account Access,High,In Progress,True,-1.0,1.0,2026-01-02 00:00:00
TCK-0006-02,CUST-0006,Feature Request,Medium,In Progress,False,-1.0,2.0,2026-01-15 00:00:00
TCK-0006-03,CUST-0006,Billing,Low,Resolved,False,3.6,4.0,2026-03-05 00:00:00
TCK-0006-04,CUST-0006,Account Access,Medium,Resolved,False,21.3,5.0,2026-01-07 00:00:00
TCK-0006-05,CUST-0006,Technical Bug,Urgent,In Progress,False,-1.0,3.0,2026-05-21 00:00:00
TCK-0006-06,CUST-0006,Performance Issue,Low,In Progress,False,-1.0,3.0,2025-11-22 00:00:00
TCK-0006-07,CUST-0006,Technical Bug,High,Resolved,True,54.0,1.0,2026-01-04 00:00:00
TCK-0006-08,CUST-0006,Account Access,Medium,Closed,False,17.1,5.0,2026-03-05 00:00:00
TCK-0006-09,CUST-0006,Feature Request,High,Resolved,False,8.5,5.0,2026-05-27 00:00:00
TCK-0006-10,CUST-0006,Account Access,Low,Closed,True,16.0,2.0,2025-12-07 00:00:00
TCK-0007-01,CUST-0007,Billing,High,Closed,False,32.1,3.0,2025-08-23 00:00:00
TCK-0007-02,CUST-0007,Account Access,Low,Closed,False,17.0,3.0,2025-09-16 00:00:00
TCK-0007-03,CUST-0007,Performance Issue,Urgent,Closed,False,66.8,4.0,2026-06-04 00:00:00
TCK-0007-04,CUST-0007,Technical Bug,Medium,Resolved,False,5.9,5.0,2026-04-23 00:00:00
TCK-0007-05,CUST-0007,Feature Request,Medium,Resolved,False,10.4,3.0,2026-06-01 00:00:00
TCK-0007-06,CUST-0007,Feature Request,Medium,Escalation Pending,False,-1.0,2.0,2025-08-22 00:00:00
TCK-0007-07,CUST-0007,Technical Bug,Medium,Closed,True,10.8,2.0,2026-06-04 00:00:00
TCK-0007-08,CUST-0007,Billing,High,Escalation Pending,False,-1.0,3.0,2026-05-24 00:00:00
TCK-0007-09,CUST-0007,Performance Issue,High,Resolved,False,63.4,5.0,2025-06-18 00:00:00
TCK-0007-10,CUST-0007,Performance Issue,High,Escalation Pending,True,-1.0,2.0,2026-03-27 00:00:00
TCK-0008-01,CUST-0008,Billing,Urgent,Closed,True,27.5,1.0,2026-03-15 00:00:00
TCK-0008-02,CUST-0008,Account Access,High,Resolved,False,52.4,5.0,2025-12-24 00:00:00
TCK-0008-03,CUST-0008,Account Access,Urgent,In Progress,True,-1.0,3.0,2025-06-13 00:00:00
TCK-0008-04,CUST-0008,Technical Bug,Urgent,Escalation Pending,False,-1.0,3.0,2026-04-27 00:00:00
TCK-0008-05,CUST-0008,Technical Bug,High,Resolved,False,23.3,4.0,2025-11-15 00:00:00
TCK-0008-06,CUST-0008,Performance Issue,High,Escalation Pending,False,-1.0,3.0,2025-07-27 00:00:00
TCK-0009-01,CUST-0009,Technical Bug,High,Closed,True,12.3,1.0,2025-10-25 00:00:00
TCK-0009-02,CUST-0009,Feature Request,Low,Closed,False,17.8,5.0,2026-03-02 00:00:00
TCK-0009-03,CUST-0009,Feature Request,Medium,Resolved,False,21.6,3.0,2026-01-25 00:00:00
TCK-0010-01,CUST-0010,Feature Request,Medium,In Progress,False,-1.0,2.0,2026-03-18 00:00:00
TCK-0010-02,CUST-0010,Performance Issue,Urgent,Escalation Pending,False,-1.0,1.0,2026-05-24 00:00:00
TCK-0010-03,CUST-0010,Feature Request,Urgent,Closed,True,60.8,2.0,2026-06-05 00:00:00
TCK-0011-01,CUST-0011,Account Access,High,Resolved,True,11.7,1.0,2025-12-10 00:00:00
TCK-0011-02,CUST-0011,Technical Bug,Medium,Escalation Pending,True,-1.0,2.0,2026-03-01 00:00:00
TCK-0011-03,CUST-0011,Feature Request,Urgent,Escalation Pending,True,-1.0,2.0,2026-06-26 00:00:00
TCK-0011-04,CUST-0011,Performance Issue,Low,Escalation Pending,False,-1.0,2.0,2025-05-31 00:00:00
TCK-0011-05,CUST-0011,Account Access,High,Escalation Pending,False,-1.0,3.0,2026-06-14 00:00:00
TCK-0012-01,CUST-0012,Feature Request,Medium,Resolved,False,22.0,3.0,2025-09-08 00:00:00
TCK-0012-02,CUST-0012,Feature Request,Medium,Closed,False,3.1,5.0,2026-01-11 00:00:00
TCK-0012-03,CUST-0012,Technical Bug,Urgent,Escalation Pending,True,-1.0,2.0,2026-02-28 00:00:00
TCK-0012-04,CUST-0012,Account Access,Low,Resolved,False,24.0,5.0,2025-11-19 00:00:00
TCK-0013-01,CUST-0013,Technical Bug,Medium,Resolved,False,14.4,4.0,2026-05-03 00:00:00
TCK-0013-02,CUST-0013,Account Access,High,Resolved,True,56.4,1.0,2025-11-26 00:00:00
TCK-0013-03,CUST-0013,Billing,Low,Escalation Pending,False,-1.0,2.0,2025-08-03 00:00:00
TCK-0013-04,CUST-0013,Billing,Medium,In Progress,True,-1.0,3.0,2025-05-15 00:00:00
TCK-0014-01,CUST-0014,Feature Request,Urgent,In Progress,True,-1.0,3.0,2026-02-15 00:00:00
TCK-0014-02,CUST-0014,Technical Bug,Urgent,In Progress,True,-1.0,3.0,2026-03-27 00:00:00
TCK-0015-01,CUST-0015,Feature Request,Medium,Escalation Pending,False,-1.0,2.0,2025-03-01 00:00:00
TCK-0015-02,CUST-0015,Feature Request,High,Closed,True,26.8,2.0,2025-08-08 00:00:00
TCK-0015-03,CUST-0015,Account Access,High,Closed,False,8.0,5.0,2025-10-23 00:00:00
TCK-0015-04,CUST-0015,Performance Issue,Medium,Escalation Pending,False,-1.0,2.0,2026-03-27 00:00:00
TCK-0015-05,CUST-0015,Billing,Low,Escalation Pending,True,-1.0,3.0,2025-06-19 00:00:00
TCK-0015-06,CUST-0015,Account Access,High,In Progress,False,-1.0,2.0,2026-03-03 00:00:00
TCK-0016-01,CUST-0016,Technical Bug,High,Closed,True,15.4,3.0,2026-01-02 00:00:00
TCK-0016-02,CUST-0016,Account Access,High,Closed,False,22.7,5.0,2025-07-30 00:00:00
TCK-0016-03,CUST-0016,Account Access,Low,Closed,False,8.0,3.0,2026-02-07 00:00:00
TCK-0017-01,CUST-0017,Feature Request,Urgent,Closed,False,69.6,5.0,2026-06-19 00:00:00
TCK-0017-02,CUST-0017,Feature Request,Low,Escalation Pending,False,-1.0,2.0,2025-11-09 00:00:00
TCK-0017-03,CUST-0017,Performance Issue,Low,In Progress,False,-1.0,1.0,2025-12-24 00:00:00
TCK-0017-04,CUST-0017,Billing,Urgent,Closed,False,56.3,5.0,2026-02-14 00:00:00
TCK-0017-05,CUST-0017,Feature Request,High,Escalation Pending,False,-1.0,2.0,2026-03-16 00:00:00
TCK-0017-06,CUST-0017,Performance Issue,Low,Resolved,False,22.8,4.0,2026-03-31 00:00:00
TCK-0018-01,CUST-0018,Technical Bug,Low,Escalation Pending,False,-1.0,2.0,2025-10-27 00:00:00
TCK-0018-02,CUST-0018,Technical Bug,High,Escalation Pending,False,-1.0,1.0,2026-02-07 00:00:00
TCK-0018-03,CUST-0018,Account Access,Medium,Closed,False,16.2,5.0,2025-12-22 00:00:00
TCK-0019-01,CUST-0019,Feature Request,Low,In Progress,False,-1.0,3.0,2026-01-31 00:00:00
TCK-0019-02,CUST-0019,Account Access,Urgent,Resolved,False,64.3,5.0,2026-03-23 00:00:00
TCK-0019-03,CUST-0019,Account Access,Low,Resolved,True,24.0,3.0,2026-05-18 00:00:00
TCK-0019-04,CUST-0019,Account Access,Low,Closed,False,12.4,5.0,2026-06-11 00:00:00
TCK-0019-05,CUST-0019,Account Access,Medium,Escalation Pending,False,-1.0,3.0,2026-05-16 00:00:00
TCK-0019-06,CUST-0019,Feature Request,Low,Escalation Pending,False,-1.0,2.0,2026-01-10 00:00:00
TCK-0020-01,CUST-0020,Performance Issue,Low,In Progress,False,-1.0,2.0,2025-11-10 00:00:00
TCK-0020-02,CUST-0020,Billing,Urgent,Resolved,False,48.0,5.0,2025-12-26 00:00:00
TCK-0020-03,CUST-0020,Billing,Medium,Escalation Pending,False,-1.0,3.0,2026-01-10 00:00:00
TCK-0020-04,CUST-0020,Billing,Medium,Closed,True,22.4,2.0,2026-05-21 00:00:00
TCK-0020-05,CUST-0020,Feature Request,Low,Closed,True,17.6,2.0,2026-03-07 00:00:00
TCK-0020-06,CUST-0020,Billing,Urgent,Resolved,True,34.3,1.0,2026-04-25 00:00:00
TCK-0020-07,CUST-0020,Technical Bug,Urgent,In Progress,False,-1.0,3.0,2026-05-25 00:00:00
TCK-0020-08,CUST-0020,Account Access,Urgent,Escalation Pending,False,-1.0,1.0,2026-01-17 00:00:00
TCK-0021-01,CUST-0021,Performance Issue,High,In Progress,False,-1.0,3.0,2026-01-01 00:00:00
TCK-0021-02,CUST-0021,Performance Issue,Urgent,Escalation Pending,False,-1.0,3.0,2026-04-06 00:00:00
TCK-0021-03,CUST-0021,Account Access,High,Escalation Pending,False,-1.0,2.0,2026-01-13 00:00:00
TCK-0021-04,CUST-0021,Technical Bug,Medium,Closed,False,20.8,5.0,2025-08-24 00:00:00
TCK-0021-05,CUST-0021,Account Access,Urgent,Escalation Pending,False,-1.0,2.0,2026-07-01 00:00:00
TCK-0021-06,CUST-0021,Technical Bug,Urgent,Closed,False,37.2,5.0,2025-09-22 00:00:00
TCK-0021-07,CUST-0021,Feature Request,Low,Escalation Pending,False,-1.0,1.0,2025-10-14 00:00:00
TCK-0022-01,CUST-0022,Billing,High,Escalation Pending,False,-1.0,2.0,2026-05-10 00:00:00
TCK-0022-02,CUST-0022,Feature Request,Low,Closed,False,15.9,5.0,2025-10-18 00:00:00
TCK-0022-03,CUST-0022,Billing,Urgent,Resolved,False,33.1,5.0,2025-07-08 00:00:00
TCK-0022-04,CUST-0022,Billing,High,In Progress,False,-1.0,2.0,2026-01-01 00:00:00
TCK-0022-05,CUST-0022,Feature Request,Medium,Escalation Pending,False,-1.0,3.0,2026-06-08 00:00:00
TCK-0022-06,CUST-0022,Technical Bug,Medium,Escalation Pending,False,-1.0,3.0,2026-06-08 00:00:00
TCK-0022-07,CUST-0022,Technical Bug,Urgent,Closed,False,18.3,5.0,2026-02-14 00:00:00
TCK-0022-08,CUST-0022,Account Access,Low,Escalation Pending,False,-1.0,2.0,2026-06-05 00:00:00
TCK-0023-01,CUST-0023,Account Access,Urgent,Closed,False,72.0,5.0,2025-07-28 00:00:00
TCK-0023-02,CUST-0023,Technical Bug,Urgent,In Progress,False,-1.0,3.0,2025-11-02 00:00:00
TCK-0023-03,CUST-0023,Billing,Urgent,Resolved,True,65.7,3.0,2026-02-13 00:00:00
TCK-0023-04,CUST-0023,Account Access,Medium,In Progress,False,-1.0,1.0,2026-04-25 00:00:00
TCK-0023-05,CUST-0023,Technical Bug,High,Closed,False,46.0,3.0,2025-11-09 00:00:00
TCK-0023-06,CUST-0023,Feature Request,Low,Closed,False,4.0,5.0,2025-11-18 00:00:00
TCK-0023-07,CUST-0023,Feature Request,Medium,In Progress,False,-1.0,3.0,2026-02-15 00:00:00
TCK-0023-08,CUST-0023,Account Access,Medium,Escalation Pending,False,-1.0,2.0,2026-06-21 00:00:00
TCK-0024-01,CUST-0024,Account Access,Low,Resolved,False,7.8,3.0,2026-03-13 00:00:00
TCK-0024-02,CUST-0024,Account Access,High,In Progress,False,-1.0,1.0,2025-11-20 00:00:00
TCK-0024-03,CUST-0024,Feature Request,Low,In Progress,False,-1.0,3.0,2025-11-14 00:00:00
TCK-0024-04,CUST-0024,Billing,Urgent,In Progress,False,-1.0,3.0,2026-02-18 00:00:00
TCK-0024-05,CUST-0024,Billing,Medium,Resolved,True,8.7,2.0,2025-09-21 00:00:00
TCK-0024-06,CUST-0024,Billing,Medium,Closed,False,10.6,5.0,2026-04-26 00:00:00
TCK-0024-07,CUST-0024,Feature Request,Medium,Resolved,False,20.3,5.0,2025-12-14 00:00:00
TCK-0024-08,CUST-0024,Billing,High,Escalation Pending,True,-1.0,1.0,2026-01-25 00:00:00
TCK-0024-09,CUST-0024,Billing,High,In Progress,False,-1.0,1.0,2026-02-12 00:00:00
TCK-0024-10,CUST-0024,Account Access,Medium,Escalation Pending,False,-1.0,1.0,2026-06-28 00:00:00
TCK-0025-01,CUST-0025,Performance Issue,Medium,Closed,True,14.9,1.0,2025-10-21 00:00:00
TCK-0025-02,CUST-0025,Technical Bug,Low,Closed,False,23.7,5.0,2026-06-18 00:00:00
TCK-0025-03,CUST-0025,Technical Bug,Low,Resolved,False,4.9,5.0,2026-06-14 00:00:00
TCK-0025-04,CUST-0025,Technical Bug,High,In Progress,True,-1.0,1.0,2025-07-09 00:00:00
TCK-0026-01,CUST-0026,Feature Request,Medium,Resolved,False,18.0,5.0,2026-05-13 00:00:00
TCK-0026-02,CUST-0026,Billing,Low,Escalation Pending,False,-1.0,2.0,2025-11-15 00:00:00
TCK-0026-03,CUST-0026,Feature Request,Urgent,Resolved,True,24.5,1.0,2025-10-24 00:00:00
TCK-0027-01,CUST-0027,Account Access,Urgent,Escalation Pending,False,-1.0,1.0,2025-09-12 00:00:00
TCK-0027-02,CUST-0027,Performance Issue,Medium,Closed,False,11.1,5.0,2026-02-05 00:00:00
TCK-0027-03,CUST-0027,Feature Request,Low,In Progress,False,-1.0,3.0,2025-11-23 00:00:00
TCK-0027-04,CUST-0027,Account Access,Medium,Escalation Pending,False,-1.0,1.0,2025-08-31 00:00:00
TCK-0027-05,CUST-0027,Billing,Low,In Progress,False,-1.0,1.0,2026-04-26 00:00:00
TCK-0027-06,CUST-0027,Billing,High,Escalation Pending,False,-1.0,2.0,2026-06-21 00:00:00
TCK-0027-07,CUST-0027,Feature Request,Low,In Progress,False,-1.0,2.0,2025-09-07 00:00:00
TCK-0027-08,CUST-0027,Performance Issue,Medium,Escalation Pending,False,-1.0,1.0,2025-09-09 00:00:00
TCK-0027-09,CUST-0027,Account Access,High,In Progress,True,-1.0,3.0,2025-11-08 00:00:00
TCK-0027-10,CUST-0027,Feature Request,Low,In Progress,False,-1.0,1.0,2025-10-16 00:00:00
TCK-0028-01,CUST-0028,Billing,Medium,Resolved,False,4.0,4.0,2025-09-24 00:00:00
TCK-0028-02,CUST-0028,Feature Request,Urgent,In Progress,True,-1.0,2.0,2026-03-20 00:00:00
TCK-0028-03,CUST-0028,Account Access,Low,Closed,False,5.5,3.0,2026-02-24 00:00:00
TCK-0028-04,CUST-0028,Billing,High,Escalation Pending,False,-1.0,2.0,2026-01-20 00:00:00
TCK-0028-05,CUST-0028,Feature Request,Urgent,Resolved,True,26.2,1.0,2025-08-08 00:00:00
TCK-0028-06,CUST-0028,Performance Issue,Urgent,In Progress,False,-1.0,1.0,2025-07-06 00:00:00
TCK-0028-07,CUST-0028,Feature Request,Low,In Progress,True,-1.0,1.0,2026-04-12 00:00:00
TCK-0028-08,CUST-0028,Technical Bug,High,Resolved,True,2.5,3.0,2025-10-22 00:00:00
TCK-0029-01,CUST-0029,Feature Request,Low,Escalation Pending,False,-1.0,1.0,2025-12-09 00:00:00
TCK-0029-02,CUST-0029,Performance Issue,Urgent,Escalation Pending,False,-1.0,2.0,2025-08-29 00:00:00
TCK-0029-03,CUST-0029,Feature Request,Low,Closed,False,19.6,5.0,2026-06-20 00:00:00
TCK-0030-01,CUST-0030,Performance Issue,Low,In Progress,False,-1.0,3.0,2026-02-02 00:00:00
TCK-0030-02,CUST-0030,Technical Bug,High,Resolved,False,37.7,3.0,2026-05-11 00:00:00
TCK-0030-03,CUST-0030,Performance Issue,Medium,In Progress,False,-1.0,2.0,2025-10-27 00:00:00
TCK-0030-04,CUST-0030,Technical Bug,Low,Closed,False,5.8,4.0,2025-09-20 00:00:00
TCK-0030-05,CUST-0030,Technical Bug,Urgent,Escalation Pending,False,-1.0,3.0,2026-05-29 00:00:00
TCK-0030-06,CUST-0030,Performance Issue,High,In Progress,False,-1.0,1.0,2026-03-26 00:00:00
TCK-0030-07,CUST-0030,Billing,Urgent,In Progress,False,-1.0,2.0,2026-06-11 00:00:00
TCK-0030-08,CUST-0030,Billing,High,In Progress,False,-1.0,2.0,2026-04-01 00:00:00
TCK-0031-01,CUST-0031,Feature Request,Urgent,Resolved,False,33.5,4.0,2025-07-31 00:00:00
TCK-0031-02,CUST-0031,Performance Issue,Urgent,Resolved,False,33.5,5.0,2026-02-17 00:00:00
TCK-0031-03,CUST-0031,Billing,Medium,Escalation Pending,True,-1.0,2.0,2025-11-12 00:00:00
TCK-0031-04,CUST-0031,Performance Issue,Medium,In Progress,False,-1.0,2.0,2025-09-14 00:00:00
TCK-0031-05,CUST-0031,Account Access,Low,In Progress,False,-1.0,1.0,2025-08-04 00:00:00
TCK-0031-06,CUST-0031,Billing,Urgent,Closed,True,25.3,3.0,2026-01-22 00:00:00
TCK-0031-07,CUST-0031,Technical Bug,High,Escalation Pending,True,-1.0,1.0,2025-12-18 00:00:00
TCK-0031-08,CUST-0031,Billing,High,In Progress,False,-1.0,1.0,2026-01-26 00:00:00
TCK-0031-09,CUST-0031,Performance Issue,Low,Escalation Pending,False,-1.0,3.0,2025-08-21 00:00:00
TCK-0031-10,CUST-0031,Billing,High,Closed,True,25.9,2.0,2025-05-26 00:00:00
TCK-0032-01,CUST-0032,Account Access,Medium,Closed,False,5.6,4.0,2026-05-10 00:00:00
TCK-0032-02,CUST-0032,Billing,Urgent,Closed,False,69.9,5.0,2026-05-15 00:00:00
TCK-0033-01,CUST-0033,Performance Issue,Urgent,In Progress,False,-1.0,2.0,2025-12-24 00:00:00
TCK-0033-02,CUST-0033,Performance Issue,Urgent,Closed,False,58.1,4.0,2026-07-01 00:00:00
TCK-0033-03,CUST-0033,Account Access,Low,In Progress,False,-1.0,3.0,2025-06-02 00:00:00
TCK-0033-04,CUST-0033,Performance Issue,Low,Closed,False,8.0,4.0,2026-06-10 00:00:00
TCK-0033-05,CUST-0033,Feature Request,Low,Closed,False,20.0,5.0,2025-04-24 00:00:00
TCK-0033-06,CUST-0033,Feature Request,Low,In Progress,False,-1.0,1.0,2025-10-25 00:00:00
TCK-0033-07,CUST-0033,Billing,High,In Progress,True,-1.0,1.0,2026-06-14 00:00:00
TCK-0034-01,CUST-0034,Feature Request,Low,Resolved,False,7.6,4.0,2025-12-19 00:00:00
TCK-0034-02,CUST-0034,Performance Issue,Urgent,In Progress,True,-1.0,1.0,2025-08-15 00:00:00
TCK-0034-03,CUST-0034,Billing,Low,Escalation Pending,True,-1.0,1.0,2025-05-09 00:00:00
TCK-0034-04,CUST-0034,Feature Request,Low,Closed,False,17.8,5.0,2025-10-19 00:00:00
TCK-0034-05,CUST-0034,Billing,High,Escalation Pending,True,-1.0,1.0,2026-02-17 00:00:00
TCK-0034-06,CUST-0034,Billing,High,Resolved,True,29.3,2.0,2025-04-05 00:00:00
TCK-0034-07,CUST-0034,Feature Request,High,Resolved,True,27.0,1.0,2025-09-06 00:00:00
TCK-0034-08,CUST-0034,Technical Bug,Low,In Progress,False,-1.0,1.0,2025-04-05 00:00:00
TCK-0034-09,CUST-0034,Account Access,High,Closed,False,60.1,5.0,2026-03-05 00:00:00
TCK-0035-01,CUST-0035,Technical Bug,Low,In Progress,False,-1.0,3.0,2025-11-04 00:00:00
TCK-0035-02,CUST-0035,Performance Issue,Urgent,Closed,True,22.0,1.0,2026-03-16 00:00:00
TCK-0036-01,CUST-0036,Account Access,Medium,Escalation Pending,False,-1.0,2.0,2026-05-07 00:00:00
TCK-0036-02,CUST-0036,Account Access,Low,Resolved,False,11.5,4.0,2026-05-21 00:00:00
TCK-0036-03,CUST-0036,Account Access,High,In Progress,True,-1.0,3.0,2026-01-13 00:00:00
TCK-0036-04,CUST-0036,Account Access,Urgent,Escalation Pending,False,-1.0,1.0,2026-03-30 00:00:00
TCK-0036-05,CUST-0036,Account Access,Urgent,In Progress,True,-1.0,3.0,2026-03-25 00:00:00
TCK-0036-06,CUST-0036,Account Access,Low,Escalation Pending,True,-1.0,2.0,2026-05-04 00:00:00
TCK-0036-07,CUST-0036,Technical Bug,Low,Escalation Pending,False,-1.0,1.0,2025-10-18 00:00:00
TCK-0036-08,CUST-0036,Billing,Medium,In Progress,False,-1.0,2.0,2026-02-27 00:00:00
TCK-0037-01,CUST-0037,Performance Issue,High,In Progress,False,-1.0,1.0,2026-06-24 00:00:00
TCK-0037-02,CUST-0037,Billing,Low,Escalation Pending,False,-1.0,3.0,2026-01-29 00:00:00
TCK-0037-03,CUST-0037,Performance Issue,Low,In Progress,False,-1.0,3.0,2026-02-13 00:00:00
TCK-0037-04,CUST-0037,Technical Bug,High,Escalation Pending,False,-1.0,1.0,2025-11-22 00:00:00
TCK-0038-01,CUST-0038,Account Access,High,In Progress,False,-1.0,2.0,2025-11-05 00:00:00
TCK-0038-02,CUST-0038,Technical Bug,High,Resolved,False,71.0,4.0,2025-12-16 00:00:00
TCK-0038-03,CUST-0038,Feature Request,Low,In Progress,False,-1.0,2.0,2026-05-26 00:00:00
TCK-0039-01,CUST-0039,Feature Request,Urgent,Resolved,False,10.8,5.0,2025-10-11 00:00:00
TCK-0039-02,CUST-0039,Feature Request,Urgent,In Progress,False,-1.0,1.0,2026-06-13 00:00:00
TCK-0039-03,CUST-0039,Performance Issue,Medium,Closed,False,11.5,3.0,2025-11-06 00:00:00
TCK-0039-04,CUST-0039,Performance Issue,Medium,Closed,False,9.1,4.0,2026-02-28 00:00:00
TCK-0039-05,CUST-0039,Performance Issue,High,In Progress,False,-1.0,1.0,2026-06-13 00:00:00
TCK-0039-06,CUST-0039,Account Access,Medium,Resolved,False,13.1,4.0,2026-06-28 00:00:00
TCK-0039-07,CUST-0039,Technical Bug,Medium,In Progress,False,-1.0,3.0,2025-09-25 00:00:00
TCK-0039-08,CUST-0039,Billing,Low,In Progress,True,-1.0,3.0,2025-12-20 00:00:00
TCK-0039-09,CUST-0039,Performance Issue,Urgent,Resolved,False,36.9,5.0,2026-02-05 00:00:00
TCK-0039-10,CUST-0039,Feature Request,Medium,Escalation Pending,False,-1.0,2.0,2026-04-24 00:00:00
TCK-0040-01,CUST-0040,Account Access,Medium,In Progress,False,-1.0,3.0,2026-02-19 00:00:00
TCK-0040-02,CUST-0040,Feature Request,Medium,Resolved,False,9.0,5.0,2025-10-28 00:00:00
TCK-0040-03,CUST-0040,Account Access,Urgent,Resolved,True,5.5,2.0,2026-03-29 00:00:00
TCK-0040-04,CUST-0040,Technical Bug,Medium,In Progress,False,-1.0,1.0,2025-11-16 00:00:00
TCK-0040-05,CUST-0040,Feature Request,Urgent,In Progress,False,-1.0,2.0,2025-09-07 00:00:00
TCK-0041-01,CUST-0041,Billing,Low,Escalation Pending,True,-1.0,2.0,2026-03-13 00:00:00
TCK-0041-02,CUST-0041,Billing,Low,In Progress,False,-1.0,3.0,2026-01-28 00:00:00
TCK-0041-03,CUST-0041,Feature Request,High,Resolved,True,41.9,1.0,2026-01-27 00:00:00
TCK-0041-04,CUST-0041,Performance Issue,High,Escalation Pending,True,-1.0,3.0,2026-01-06 00:00:00
TCK-0041-05,CUST-0041,Performance Issue,Low,Resolved,False,10.7,5.0,2026-03-18 00:00:00
TCK-0041-06,CUST-0041,Account Access,Medium,Escalation Pending,False,-1.0,3.0,2025-11-06 00:00:00
TCK-0041-07,CUST-0041,Billing,Low,In Progress,True,-1.0,2.0,2026-03-08 00:00:00
TCK-0042-01,CUST-0042,Performance Issue,High,Escalation Pending,False,-1.0,3.0,2026-01-08 00:00:00
TCK-0042-02,CUST-0042,Account Access,Urgent,In Progress,False,-1.0,2.0,2026-03-05 00:00:00
TCK-0042-03,CUST-0042,Billing,Urgent,Resolved,False,43.8,5.0,2026-02-24 00:00:00
TCK-0042-04,CUST-0042,Performance Issue,Medium,Escalation Pending,False,-1.0,1.0,2025-12-19 00:00:00
TCK-0042-05,CUST-0042,Performance Issue,Urgent,Closed,True,4.2,3.0,2025-05-21 00:00:00
